	chromosome	db	type	start	stop	strand	gene_type	gene_name
1806	7	HAVANA	gene	30067020	30170096	+	protein_coding	PLEKHA8
1808	7	HAVANA	gene	30555925	30634425	-	processed_transcript	AC005154.6
1809	7	HAVANA	gene	30737601	30797218	+	protein_coding	INMT
1810	7	HAVANA	gene	30791753	30931696	+	protein_coding	INMT-FAM188B
1811	7	HAVANA	gene	31790793	32338941	-	protein_coding	PDE1C
1813	7	HAVANA	gene	32535038	33078516	+	protein_coding	AVL9
1815	7	HAVANA	gene	33168856	33645680	+	protein_coding	BBS9
1816	7	HAVANA	gene	33944523	34195484	+	protein_coding	BMPER
1818	7	HAVANA	gene	34386124	34911194	-	processed_transcript	NPSR1-AS1
1819	7	HAVANA	gene	35672269	35735181	-	protein_coding	HERPUD2
1821	7	HAVANA	gene	35985904	36013282	+	pseudogene	SEPT7P3
1823	7	HAVANA	gene	36429415	36493400	+	protein_coding	ANLN
1825	7	HAVANA	gene	36893961	37488852	-	protein_coding	ELMO1
1827	7	HAVANA	gene	37723446	37991543	+	protein_coding	EPDR1
1828	7	HAVANA	gene	37888199	37940003	+	protein_coding	NME8
1831	7	HAVANA	gene	38393316	38394118	-	TR_V_gene	TRGV4
1832	7	HAVANA	gene	38423305	38671167	-	protein_coding	AMPH
1833	7	HAVANA	gene	39585245	39605838	-	antisense	AC011290.4
1835	7	HAVANA	gene	39856148	39907739	+	pseudogene	AC072061.2
1836	7	HAVANA	gene	39872813	39874544	+	pseudogene	AC004987.9
1839	7	HAVANA	gene	40174575	40900362	+	protein_coding	C7orf10
1840	7	HAVANA	gene	40191212	40193750	+	pseudogene	AC006023.8
1843	7	HAVANA	gene	41733514	41818986	+	antisense	INHBA-AS1
1844	7	HAVANA	gene	42948872	42971773	-	protein_coding	PSMA2
1846	7	HAVANA	gene	43980494	44058774	-	processed_transcript	POLR2J4
1847	7	HAVANA	gene	43991509	44058750	-	processed_transcript	RP5-1165K10.2
1848	7	HAVANA	gene	44066550	44081491	-	pseudogene	RASA4CP
1849	7	HAVANA	gene	47735328	48019178	-	protein_coding	HUS1
1850	7	HAVANA	gene	47814250	47988088	-	protein_coding	PKD1L1
1851	7	HAVANA	gene	49890017	50160925	-	protein_coding	ZPBP
1852	7	HAVANA	gene	50511831	50518088	-	protein_coding	FIGNL1
1853	7	HAVANA	gene	51083909	51384515	-	protein_coding	COBL
1855	7	HAVANA	gene	54827118	54872621	+	antisense	RP11-745C15.2
1857	7	HAVANA	gene	56148440	56160689	-	protein_coding	PHKG1
1858	7	HAVANA	gene	64254766	64294054	+	protein_coding	ZNF138
1859	7	HAVANA	gene	64601603	64694600	+	pseudogene	INTS4L1
1860	7	HAVANA	gene	64990542	65019657	-	pseudogene	RP11-667F9.1
1861	7	HAVANA	gene	65112777	65180636	+	pseudogene	INTS4L2
1862	7	HAVANA	gene	66800963	66805011	+	lincRNA	RP11-166O4.5
1864	7	HAVANA	gene	68689683	68895909	-	lincRNA	RP11-3P22.2
1866	7	HAVANA	gene	69063905	70258054	+	protein_coding	AUTS2
1867	7	HAVANA	gene	72349936	72421979	+	protein_coding	POM121
1868	7	HAVANA	gene	72656902	72694143	-	pseudogene	GTF2IRD2P1
1869	7	HAVANA	gene	74071994	74175026	+	protein_coding	GTF2I
1870	7	HAVANA	gene	74112305	74306731	-	pseudogene	STAG3L2
1871	7	HAVANA	gene	75039605	75046066	+	pseudogene	NSUN5P1
1872	7	HAVANA	gene	75956116	75988348	-	protein_coding	YWHAG
1873	7	HAVANA	gene	76026835	76071388	+	protein_coding	ZP3
1874	7	HAVANA	gene	76673038	76827943	+	processed_transcript	RP11-467H10.2
1875	7	HAVANA	gene	76751751	76958850	+	protein_coding	CCDC146
1878	7	HAVANA	gene	77325760	77412339	+	protein_coding	RSBN1L
1879	7	HAVANA	gene	77428122	77586818	+	protein_coding	PHTF2
1880	7	HAVANA	gene	77646393	79082890	-	protein_coding	MAGI2
1882	7	HAVANA	gene	79998891	80308593	+	protein_coding	CD36
1883	7	HAVANA	gene	81575760	82073114	-	protein_coding	CACNA2D1
1884	7	HAVANA	gene	81638493	81659271	+	antisense	MIR1255B1
1887	7	HAVANA	gene	82383329	82792246	-	protein_coding	PCLO
1888	7	HAVANA	gene	82993222	83278326	-	protein_coding	SEMA3E
1889	7	HAVANA	gene	84624869	84816171	-	protein_coding	SEMA3D
1891	7	HAVANA	gene	86506222	86689015	-	protein_coding	KIAA1324L
1893	7	HAVANA	gene	87563458	87832204	+	protein_coding	ADAM22
1895	7	HAVANA	gene	90013035	90142716	+	protein_coding	CLDN12
1896	7	HAVANA	gene	90032748	90142705	+	processed_transcript	CTB-13L3.1
1899	7	HAVANA	gene	90095738	90839905	+	protein_coding	CDK14
1901	7	HAVANA	gene	91321323	91510034	-	protein_coding	MTERF
1902	7	HAVANA	gene	91741465	91772266	-	protein_coding	CYP51A1
1903	7	HAVANA	gene	91741473	91808845	-	protein_coding	LRRD1
1904	7	HAVANA	gene	92158087	92167319	+	protein_coding	RBM48
1906	7	HAVANA	gene	92817899	92855837	-	protein_coding	HEPACAM2
1907	7	HAVANA	gene	94023873	94060544	+	protein_coding	COL1A2
1908	7	HAVANA	gene	97881691	97937162	+	protein_coding	BRI3
1910	7	HAVANA	gene	98475556	98610866	+	protein_coding	TRRAP
1912	7	HAVANA	gene	99014362	99063787	-	protein_coding	PTCD1
1913	7	HAVANA	gene	99017372	99063820	-	protein_coding	ATP5J2-PTCD1
1914	7	HAVANA	gene	99036545	99054994	+	protein_coding	CPSF4
1918	7	HAVANA	gene	100472733	100486285	+	protein_coding	SRRT
1920	7	HAVANA	gene	100882739	100895597	-	protein_coding	FIS1
1921	7	HAVANA	gene	101006101	101202304	+	polymorphic_pseudogene	COL26A1
1923	7	HAVANA	gene	102122892	102158228	-	protein_coding	RASA4B
1924	7	HAVANA	gene	102123791	102184211	-	processed_transcript	RP11-514P8.8
1925	7	HAVANA	gene	102277474	102312076	-	protein_coding	POLR2J2
1926	7	HAVANA	gene	102277496	102312088	-	protein_coding	POLR2J2
1927	7	HAVANA	gene	102290772	102301847	+	protein_coding	SPDYE2B
1928	7	HAVANA	gene	102715328	102740205	+	protein_coding	ARMC10
1929	7	HAVANA	gene	102815580	102920857	-	pseudogene	DPY19L2P2
1930	7	HAVANA	gene	105205567	105241322	-	protein_coding	EFCAB10
1931	7	HAVANA	gene	105211530	105214107	+	antisense	RP11-251G23.5
1932	7	HAVANA	gene	105245514	105517050	-	protein_coding	ATXN7L1
1933	7	HAVANA	gene	106809406	106842974	+	protein_coding	HBP1
1934	7	HAVANA	gene	106842000	107204959	-	protein_coding	COG5
1935	7	HAVANA	gene	107663993	107770801	-	protein_coding	LAMB4
1936	7	HAVANA	gene	107788068	108097161	-	protein_coding	NRCAM
1937	7	HAVANA	gene	108110866	108210110	-	protein_coding	PNPLA8
1938	7	HAVANA	gene	108210012	108215294	+	protein_coding	DNAJB9
1939	7	HAVANA	gene	111366166	111846466	-	protein_coding	DOCK4
1941	7	HAVANA	gene	115575202	115799950	-	protein_coding	TFEC
1943	7	HAVANA	gene	116451124	116562103	+	protein_coding	CAPZA2
1944	7	HAVANA	gene	116593292	116870157	+	protein_coding	ST7
1945	7	HAVANA	gene	117003276	117068177	-	protein_coding	ASZ1
1946	7	HAVANA	gene	120628731	120937498	+	protein_coding	CPED1
1948	7	HAVANA	gene	121513143	121702090	+	protein_coding	PTPRZ1
1949	7	HAVANA	gene	121715701	121784334	-	protein_coding	AASS
1950	7	HAVANA	gene	121958481	122526813	-	protein_coding	CADPS2
1952	7	HAVANA	gene	123207064	123277951	+	protein_coding	ASB15
1954	7	HAVANA	gene	124462440	124570037	-	protein_coding	POT1
1956	7	HAVANA	gene	130538479	130613408	+	lincRNA	AC016831.7
1958	7	HAVANA	gene	131185021	131242976	-	protein_coding	PODXL
1960	7	HAVANA	gene	131808091	132333447	-	protein_coding	PLXNA4
1962	7	HAVANA	gene	134101042	134117205	-	lincRNA	RP11-38M8.1
1963	7	HAVANA	gene	136370306	136866854	-	antisense	hsa-mir-490
1965	7	HAVANA	gene	137065783	137531838	-	protein_coding	DGKI
1967	7	HAVANA	gene	139025105	139108198	+	protein_coding	C7orf55-LUC7L2
1968	7	HAVANA	gene	139026106	139107345	+	protein_coding	LUC7L2
1969	7	HAVANA	gene	139723544	139763521	-	protein_coding	PARP12
1971	7	HAVANA	gene	140372953	140396061	+	protein_coding	ADCK2
1972	7	HAVANA	gene	140390577	140422590	+	protein_coding	NDUFB2
1975	7	HAVANA	gene	140705854	140715028	-	protein_coding	MRPS33
1977	7	HAVANA	gene	140774032	141180180	+	protein_coding	TMEM178B
1979	7	HAVANA	gene	141404138	141438146	-	antisense	WEE2-AS1
1981	7	HAVANA	gene	143318043	143427502	+	protein_coding	FAM115C
1982	7	HAVANA	gene	143333745	143515397	+	pseudogene	FAM115D
1983	7	HAVANA	gene	143339348	143534026	-	pseudogene	RP11-61L23.2
1984	7	HAVANA	gene	143883176	143991230	-	protein_coding	ARHGEF35
1985	7	HAVANA	gene	145813453	148118090	+	protein_coding	CNTNAP2
1987	7	HAVANA	gene	148799876	148823438	-	protein_coding	ZNF425
1988	7	HAVANA	gene	149128454	149158214	-	protein_coding	ZNF777
1989	7	HAVANA	gene	149473131	149531068	+	processed_transcript	SSPO
1990	7	HAVANA	gene	151253197	151574210	-	protein_coding	PRKAG2
1992	7	HAVANA	gene	153584182	154685995	+	protein_coding	DPP6
1993	7	HAVANA	gene	153723372	153735689	-	antisense	RP5-1048B16.1
1994	7	HAVANA	gene	157128075	157210133	+	protein_coding	DNAJB6
1996	8	HAVANA	gene	1993155	2113475	+	protein_coding	MYOM2
1998	8	HAVANA	gene	2792875	4852494	-	protein_coding	CSMD1
2000	8	HAVANA	gene	10340388	10405095	-	antisense	PRSS51
2001	8	HAVANA	gene	10383056	10411676	+	protein_coding	PRSS55
2004	8	HAVANA	gene	13553083	13563015	+	pseudogene	RP11-436P7.1
2005	8	HAVANA	gene	13947373	15095848	-	protein_coding	SGCZ
2007	8	HAVANA	gene	17013538	17082308	+	protein_coding	ZDHHC2
2008	8	HAVANA	gene	17104080	17159936	+	protein_coding	VPS37A
2009	8	HAVANA	gene	17155539	17271037	-	protein_coding	MTMR7
2010	8	HAVANA	gene	17780349	17885478	+	protein_coding	PCM1
2011	8	HAVANA	gene	17913934	17942494	-	protein_coding	ASAH1
2012	8	HAVANA	gene	18384811	18942240	-	protein_coding	PSD3
2014	8	HAVANA	gene	19171128	19253729	+	protein_coding	SH2D4A
2016	8	HAVANA	gene	19674651	19709594	+	protein_coding	INTS10
2017	8	HAVANA	gene	20002366	20040717	-	protein_coding	SLC18A1
2018	8	HAVANA	gene	21899909	21906320	+	protein_coding	FGF17
2019	8	HAVANA	gene	22462145	22479027	+	protein_coding	CCAR2
2021	8	HAVANA	gene	22842109	22876848	-	antisense	RP11-875O11.1
2022	8	HAVANA	gene	22844930	22877712	+	protein_coding	RHOBTB2
2023	8	HAVANA	gene	23243296	23315208	-	protein_coding	ENTPD4
2024	8	HAVANA	gene	23564654	23647000	+	antisense	RP11-175E9.1
2025	8	HAVANA	gene	23583844	23600555	-	lincRNA	RP11-213G6.2
2028	8	HAVANA	gene	24153327	24769586	-	antisense	RP11-624C23.1
2029	8	HAVANA	gene	24298443	24384483	+	protein_coding	ADAM7
2032	8	HAVANA	gene	25316513	25365436	+	protein_coding	CDCA2
2034	8	HAVANA	gene	26240414	26363152	+	protein_coding	BNIP3L
2035	8	HAVANA	gene	26371791	26515694	+	protein_coding	DPYSL2
2036	8	HAVANA	gene	27092840	27115937	-	protein_coding	STMN4
2037	8	HAVANA	gene	27142404	27168836	-	protein_coding	TRIM35
2038	8	HAVANA	gene	27454434	27472548	-	protein_coding	CLU
2040	8	HAVANA	gene	28107580	28196772	-	antisense	RP11-380I10.4
2041	8	HAVANA	gene	28174503	28200872	+	protein_coding	PNOC
2044	8	HAVANA	gene	28457986	28613116	+	protein_coding	EXTL3
2046	8	HAVANA	gene	29952914	30034724	+	protein_coding	LEPROTL1
2047	8	HAVANA	gene	29989340	30002202	-	protein_coding	MBOAT4
2048	8	HAVANA	gene	30013813	30041156	+	protein_coding	DCTN6
2049	8	HAVANA	gene	30435835	30515768	-	protein_coding	GTF2E2
2050	8	HAVANA	gene	31496902	32622548	+	protein_coding	NRG1
2051	8	HAVANA	gene	32028898	32145082	+	sense_intronic	NRG1-IT2
2053	8	HAVANA	gene	33228342	33330940	-	protein_coding	FUT10
2054	8	HAVANA	gene	33330904	33371119	-	protein_coding	TTI2
2055	8	HAVANA	gene	36641842	36793646	+	protein_coding	KCNU1
2057	8	HAVANA	gene	37594117	37616619	+	protein_coding	ERLIN2
2058	8	HAVANA	gene	38585704	38710546	+	protein_coding	TACC1
2060	8	HAVANA	gene	41434706	41482520	+	protein_coding	AGPAT6
2062	8	HAVANA	gene	42873567	42932477	+	protein_coding	RP11-598P20.5
2063	8	HAVANA	gene	42889337	42940931	+	protein_coding	FNTA
2064	8	HAVANA	gene	42948658	42978577	+	protein_coding	POMK
2065	8	HAVANA	gene	52730140	52811735	-	protein_coding	PCMTD1
2066	8	HAVANA	gene	53023399	53373519	-	protein_coding	ST18
2067	8	HAVANA	gene	54764368	54871863	+	protein_coding	RGS20
2069	8	HAVANA	gene	56014949	56454613	+	protein_coding	XKR4
2071	8	HAVANA	gene	57073463	57123883	-	protein_coding	PLAG1
2072	8	HAVANA	gene	58405443	58504118	+	lincRNA	RP11-246K15.1
2073	8	HAVANA	gene	59323823	59364060	+	protein_coding	UBXN2B
2074	8	HAVANA	gene	59496063	59572403	-	protein_coding	NSMAF
2075	8	HAVANA	gene	61297147	61429354	-	lincRNA	RP11-163N6.2
2076	8	HAVANA	gene	61969717	62414204	+	protein_coding	CLVS1
2078	8	HAVANA	gene	62413116	62627155	-	protein_coding	ASPH
2080	8	HAVANA	gene	64081112	64125346	+	protein_coding	YTHDF3
2081	8	HAVANA	gene	66514694	66546442	-	protein_coding	ARMC1
2082	8	HAVANA	gene	66556969	66683496	+	protein_coding	MTFR1
2083	8	HAVANA	gene	66629745	66754557	-	protein_coding	PDE7A
2084	8	HAVANA	gene	67342420	67383836	+	protein_coding	ADHFE1
2086	8	HAVANA	gene	69242957	69731257	+	protein_coding	C8orf34
2088	8	HAVANA	gene	70378859	70573150	+	protein_coding	SULF1
2090	8	HAVANA	gene	71581600	71702606	+	protein_coding	XKR9
2092	8	HAVANA	gene	72740402	73030628	+	protein_coding	RP11-383H13.1
2093	8	HAVANA	gene	73921099	73960357	+	protein_coding	TERF1
2094	8	HAVANA	gene	74964575	75012088	+	lincRNA	RP11-6I2.3
2095	8	HAVANA	gene	79338338	79470738	-	lincRNA	RP11-594N15.2
2096	8	HAVANA	gene	79578282	79632000	+	protein_coding	ZC2HC1A
2097	8	HAVANA	gene	79587978	79717758	-	protein_coding	IL7
2098	8	HAVANA	gene	80523049	80578410	+	protein_coding	STMN2
2099	8	HAVANA	gene	81540686	81787016	-	protein_coding	ZNF704
2100	8	HAVANA	gene	82570196	82598928	-	protein_coding	IMPA1
2101	8	HAVANA	gene	82613569	82645138	-	protein_coding	ZFAND1
2102	8	HAVANA	gene	84824948	85052518	+	lincRNA	RP11-120I21.2
2103	8	HAVANA	gene	85095022	85834079	+	protein_coding	RALYL
2105	8	HAVANA	gene	86568695	86575726	-	protein_coding	REXO1L1
2106	8	HAVANA	gene	86999552	87166457	+	protein_coding	ATP6V0D2
2108	8	HAVANA	gene	87111194	87166454	-	antisense	CTD-3118D11.2
2109	8	HAVANA	gene	87497059	87573726	+	protein_coding	CPNE3
2111	8	HAVANA	gene	89044237	89340254	-	protein_coding	MMP16
2113	8	HAVANA	gene	90621638	90769955	-	lincRNA	RP11-37B2.1
2115	8	HAVANA	gene	91803778	91971636	+	protein_coding	NECAB1
2116	8	HAVANA	gene	94225531	94712661	-	antisense	LINC00535
2117	8	HAVANA	gene	94710789	94743755	+	protein_coding	FAM92A1
2118	8	HAVANA	gene	95384188	95487337	-	protein_coding	RAD54B
2119	8	HAVANA	gene	95390605	95449180	-	protein_coding	FSBP
2120	8	HAVANA	gene	95565950	95581973	+	lincRNA	RP11-267M23.4
2121	8	HAVANA	gene	96216684	96822364	+	lincRNA	KB-1047C11.2
2123	8	HAVANA	gene	99129525	99172062	+	protein_coding	POP1
2125	8	HAVANA	gene	100025494	100889808	+	protein_coding	VPS13B
2127	8	HAVANA	gene	100973164	101143496	-	protein_coding	RGS22
2129	8	HAVANA	gene	101521980	101572012	-	protein_coding	ANKRD46
2131	8	HAVANA	gene	103216730	103251346	-	protein_coding	RRM2B
2133	8	HAVANA	gene	103838585	103906092	-	protein_coding	AZIN1
2135	8	HAVANA	gene	104512976	105268322	+	protein_coding	RIMS2
2137	8	HAVANA	gene	106330920	106816760	+	protein_coding	ZFPM2
2138	8	HAVANA	gene	106792474	107072752	-	processed_transcript	RP11-152P17.2
2140	8	HAVANA	gene	107282473	107764922	+	protein_coding	OXR1
2141	8	HAVANA	gene	107532702	107669776	-	antisense	RP11-649G15.2
2142	8	HAVANA	gene	109619079	109799844	-	protein_coding	TMEM74
2143	8	HAVANA	gene	110253148	110346614	-	protein_coding	NUDCD1
2144	8	HAVANA	gene	112111190	112248432	-	lincRNA	RP11-946L20.4
2145	8	HAVANA	gene	113235157	114449328	-	protein_coding	CSMD3
2147	8	HAVANA	gene	119201698	119634234	-	protein_coding	SAMD12
2148	8	HAVANA	gene	120432150	120474590	-	antisense	RP11-775B15.2
2150	8	HAVANA	gene	120743015	120845103	-	protein_coding	TAF2
2151	8	HAVANA	gene	120846216	120868250	-	protein_coding	DSCC1
2152	8	HAVANA	gene	121072019	121384275	+	protein_coding	COL14A1
2154	8	HAVANA	gene	121393000	121457642	-	protein_coding	MRPL13
2156	8	HAVANA	gene	123682624	123706345	-	lincRNA	RP11-973F15.1
2157	8	HAVANA	gene	124025404	124054663	-	protein_coding	DERL1
2158	8	HAVANA	gene	124780696	124827692	+	protein_coding	FAM91A1
2159	8	HAVANA	gene	125486979	125500155	+	protein_coding	RNF139
2160	8	HAVANA	gene	125500726	125551699	-	protein_coding	TATDN1
2161	8	HAVANA	gene	126010739	126034525	+	protein_coding	SQLE
2162	8	HAVANA	gene	126036502	126104082	-	protein_coding	KIAA0196
2163	8	HAVANA	gene	130760442	130799134	-	protein_coding	GSDMC
2164	8	HAVANA	gene	133036467	133097902	-	protein_coding	OC90
2165	8	HAVANA	gene	133036467	133071627	-	protein_coding	OC90
2166	8	HAVANA	gene	133133108	133493200	-	protein_coding	KCNQ3
2167	8	HAVANA	gene	134203282	134242587	+	protein_coding	WISP1
2169	8	HAVANA	gene	134467091	134584183	-	protein_coding	ST3GAL1
2171	8	HAVANA	gene	135862178	135894142	+	lincRNA	RP11-1057B8.2
2173	8	HAVANA	gene	137543041	137997178	+	lincRNA	RP11-30J20.1
2175	8	HAVANA	gene	139600478	139926249	-	protein_coding	COL22A1
2177	8	HAVANA	gene	140613081	140715299	-	protein_coding	KCNK9
2179	8	HAVANA	gene	140742586	141468678	-	protein_coding	TRAPPC9
2180	8	HAVANA	gene	142366600	142377367	-	protein_coding	GPR20
2182	8	HAVANA	gene	145743376	145750557	+	protein_coding	LRRC14
2183	8	HAVANA	gene	145747761	145752416	-	protein_coding	LRRC24
2186	9	HAVANA	gene	121041	188979	-	protein_coding	CBWD1
2187	9	HAVANA	gene	2015342	2193624	+	protein_coding	SMARCA2
2189	9	HAVANA	gene	4711155	4742043	-	protein_coding	AK3
2191	9	HAVANA	gene	4985033	5128183	+	protein_coding	JAK2
2193	9	HAVANA	gene	5765076	5833117	-	protein_coding	ERMP1
2195	9	HAVANA	gene	6328349	6331900	+	protein_coding	TPD52L3
2197	9	HAVANA	gene	6720863	7175648	+	protein_coding	KDM4C
2199	9	HAVANA	gene	8314246	10612723	-	protein_coding	PTPRD
2201	9	HAVANA	gene	12685439	12710290	+	protein_coding	TYRP1
2203	9	HAVANA	gene	14734664	14910993	-	protein_coding	FREM1
2205	9	HAVANA	gene	14987300	15146399	-	pseudogene	RP11-54D18.3
2207	9	HAVANA	gene	15552895	16061661	+	protein_coding	CCDC171
2209	9	HAVANA	gene	17579080	17797127	+	protein_coding	SH3GL2
2211	9	HAVANA	gene	19049372	19051019	+	protein_coding	RRAGA
2213	9	HAVANA	gene	21802542	21931646	+	protein_coding	MTAP
2214	9	HAVANA	gene	21802635	22032985	+	protein_coding	RP11-145E5.5
2217	9	HAVANA	gene	26947037	27062928	+	protein_coding	IFT74
2219	9	HAVANA	gene	27546544	27573864	-	protein_coding	C9orf72
2221	9	HAVANA	gene	27948076	28670283	-	protein_coding	LINGO2
2223	9	HAVANA	gene	32552997	32573160	-	protein_coding	NDUFB6
2225	9	HAVANA	gene	33247818	33264761	-	protein_coding	BAG1
2227	9	HAVANA	gene	34638130	34651032	+	protein_coding	GALT
2228	9	HAVANA	gene	34646642	34657110	+	protein_coding	GALT
2231	9	HAVANA	gene	37438111	37465396	-	protein_coding	ZBTB5
2233	9	HAVANA	gene	37588410	38068684	-	protein_coding	RP11-613M10.9
2234	9	HAVANA	gene	37800499	37867663	+	protein_coding	DCAF10
2237	9	HAVANA	gene	38804004	38851913	+	lincRNA	RP11-402N8.1
2238	9	HAVANA	gene	70943224	71145977	+	protein_coding	PGM5
2239	9	HAVANA	gene	71650175	71715094	+	protein_coding	FXN
2241	9	HAVANA	gene	72873937	72969804	+	protein_coding	SMC5
2243	9	HAVANA	gene	73143979	74061820	-	protein_coding	TRPM3
2245	9	HAVANA	gene	74298282	74431606	-	protein_coding	TMEM2
2247	9	HAVANA	gene	75515578	75695358	-	protein_coding	ALDH1A1
2249	9	HAVANA	gene	77337411	77503010	-	protein_coding	TRPM6
2251	9	HAVANA	gene	77703459	77762181	+	protein_coding	OSTF1
2253	9	HAVANA	gene	79226292	79521003	-	protein_coding	PRUNE2
2255	9	HAVANA	gene	79792269	80036457	+	protein_coding	VPS13A
2257	9	HAVANA	gene	80331003	80646374	-	protein_coding	GNAQ
2259	9	HAVANA	gene	86451613	86536342	-	protein_coding	KIF27
2261	9	HAVANA	gene	88430881	88464426	+	pseudogene	RP11-213G2.3
2263	9	HAVANA	gene	91926113	91931618	+	protein_coding	CKS2
2264	9	HAVANA	gene	93564069	93660831	+	protein_coding	SYK
2266	9	HAVANA	gene	94325373	94712444	-	protein_coding	ROR2
2268	9	HAVANA	gene	96338689	96441869	+	protein_coding	PHF2
2270	9	HAVANA	gene	97094758	97123230	+	lincRNA	RP11-307E17.8
2272	9	HAVANA	gene	97861336	98079991	-	protein_coding	FANCC
2274	9	HAVANA	gene	99578754	99637905	-	protein_coding	ZNF782
2276	9	HAVANA	gene	100174232	100258407	+	protein_coding	TDRD7
2278	9	HAVANA	gene	100437191	100459639	-	protein_coding	XPA
2280	9	HAVANA	gene	100666771	100684852	-	protein_coding	C9orf156
2282	9	HAVANA	gene	104331635	104500862	-	protein_coding	GRIN3A
2284	9	HAVANA	gene	106856541	106903698	+	protein_coding	SMC2
2286	9	HAVANA	gene	107509969	107522403	+	protein_coding	NIPSNAP3A
2288	9	HAVANA	gene	108316316	108320310	-	antisense	RP11-235C23.5
2290	9	HAVANA	gene	110045418	110094475	+	protein_coding	RAD23B
2292	9	HAVANA	gene	111629797	111696396	-	protein_coding	IKBKAP
2294	9	HAVANA	gene	112403068	112713755	+	protein_coding	PALM2
2295	9	HAVANA	gene	112542589	112934792	+	protein_coding	PALM2-AKAP2
2296	9	HAVANA	gene	112542769	112934792	+	protein_coding	AKAP2
2300	9	HAVANA	gene	114122972	114247025	-	protein_coding	KIAA0368
2302	9	HAVANA	gene	114803065	114937688	-	protein_coding	SUSD1
2304	9	HAVANA	gene	115142217	115234690	+	protein_coding	HSDL2
2305	9	HAVANA	gene	115196096	115249484	-	protein_coding	C9orf147
2308	9	HAVANA	gene	115913222	115926417	+	protein_coding	SLC31A2
2310	9	HAVANA	gene	116413236	116445135	+	lincRNA	RP11-18B16.2
2312	9	HAVANA	gene	116822407	116840752	-	protein_coding	AMBP
2314	9	HAVANA	gene	117096436	117156685	-	protein_coding	AKNA
2316	9	HAVANA	gene	117373486	117408702	+	protein_coding	C9orf91
2318	9	HAVANA	gene	117782806	117880536	-	protein_coding	TNC
2320	9	HAVANA	gene	118916083	119164601	+	protein_coding	PAPPA
2322	9	HAVANA	gene	119187504	120177348	-	protein_coding	ASTN2
2324	9	HAVANA	gene	122257653	122286403	+	protein_coding	RP11-295D22.1
2326	9	HAVANA	gene	123837141	123939888	+	protein_coding	CNTRL
2328	9	HAVANA	gene	124207269	124262306	-	pseudogene	GGTA1P
2330	9	HAVANA	gene	124584207	124855885	-	protein_coding	TTLL11
2332	9	HAVANA	gene	125599836	125601099	+	pseudogene	KRT18P67
2334	9	HAVANA	gene	126141933	126692431	-	protein_coding	DENND1A
2336	9	HAVANA	gene	127115745	127177723	-	protein_coding	PSMB7
2338	9	HAVANA	gene	127539437	127577164	+	protein_coding	OLFML2A
2340	9	HAVANA	gene	129567285	129600489	+	protein_coding	ZBTB43
2342	9	HAVANA	gene	130186661	130207651	+	protein_coding	ZNF79
2344	9	HAVANA	gene	130928343	130966662	-	protein_coding	CIZ1
2346	9	HAVANA	gene	131464802	131483197	+	protein_coding	PKN3
2348	9	HAVANA	gene	132399171	132404444	-	protein_coding	ASB6
2350	9	HAVANA	gene	132815705	132902448	+	protein_coding	GPR107
2351	9	HAVANA	gene	133046882	133309510	+	protein_coding	HMCN2
2352	9	HAVANA	gene	133569108	133580248	+	protein_coding	EXOSC2
2354	9	HAVANA	gene	133884469	133969860	+	protein_coding	LAMC3
2356	9	HAVANA	gene	135136743	135230372	-	protein_coding	SETX
2358	9	HAVANA	gene	136205160	136214986	-	protein_coding	MED22
2360	9	HAVANA	gene	137000487	137025093	+	protein_coding	WDR5
2361	9	HAVANA	gene	137967268	138013025	+	protein_coding	OLFM1
2363	9	HAVANA	gene	140354404	140444986	-	protein_coding	PNPLA7
2365	9	HAVANA	gene	140772241	141019076	+	protein_coding	CACNA1B
2366	10	HAVANA	gene	1068606	1090138	+	antisense	IDI2-AS1
2367	10	HAVANA	gene	1085848	1095110	-	protein_coding	IDI1
2368	10	HAVANA	gene	1095478	1178237	+	protein_coding	WDR37
2369	10	HAVANA	gene	3179920	3215003	-	protein_coding	PITRM1
2370	10	HAVANA	gene	3183824	3210164	+	processed_transcript	PITRM1-AS1
2373	10	HAVANA	gene	4828821	4890254	+	protein_coding	AKR1E2
2375	10	HAVANA	gene	5903580	5931869	-	protein_coding	ANKRD16
2376	10	HAVANA	gene	7745232	7791483	+	protein_coding	ITIH2
2377	10	HAVANA	gene	7830092	7849778	+	protein_coding	ATP5C1
2378	10	HAVANA	gene	11495945	11653753	-	protein_coding	USP6NL
2380	10	HAVANA	gene	11784365	11806069	+	protein_coding	ECHDC3
2382	10	HAVANA	gene	11962021	12085169	-	protein_coding	UPF2
2383	10	HAVANA	gene	12237964	12292588	+	protein_coding	CDC123
2384	10	HAVANA	gene	15139179	15181817	+	protein_coding	RPP38
2385	10	HAVANA	gene	15144583	15210692	-	protein_coding	NMT2
2386	10	HAVANA	gene	15555948	15762124	-	protein_coding	ITGA8
2387	10	HAVANA	gene	15820169	15902519	-	protein_coding	FAM188A
2388	10	HAVANA	gene	16632610	16859527	-	protein_coding	RSU1
2390	10	HAVANA	gene	17794251	17842867	+	protein_coding	TMEM236
2391	10	HAVANA	gene	18098352	18200091	+	protein_coding	MRC1
2392	10	HAVANA	gene	18429606	18830798	+	protein_coding	CACNB2
2393	10	HAVANA	gene	18834490	18940551	-	protein_coding	NSUN6
2394	10	HAVANA	gene	21068902	21463116	-	protein_coding	NEBL
